"host_is_superhost","identity_varified_host","Allston","Back Bay","Beacon Hill","Brighton","Charlestown","Dorchester","Downtown","East Boston","Fenway","Jamaica Plain","Mission Hill","North End","Other","Roslindale","Roxbury","South Boston","South Boston Waterfront","South End","is_apartment","is_condominium","is_house","is_other_type","is_Entire_home/apt","is_Private_room","is_shared_room","accommodates","bathrooms","bedrooms","beds","Airbed","Couch","Futon","Pull-out Sofa","Real Bed","price","is_deposit","is_clean_fee","guests_included","is_extra_people","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","Cancellation_policy_flexible","Cancellation_policy_moderate","Cancellation_policy_strict","Cancellation_policy_SuperStrict","reviews_per_month"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","2.5","1","1","0","0","0","0","1","70.00 ","1","1","1","0","9","93","10","10","10","10","9","10","1","0","0","0","0.53"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","4","1","2","2","0","0","0","0","1","190.00 ","0","0","2","1","26","95","10","9","10","10","9","10","0","1","0","0","1.43"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","3","1","1","1","0","0","0","0","1","149.00 ","0","1","1","0","17","95","9","9","10","10","10","10","1","0","0","0","0.59"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","6","1","2","2","0","0","0","0","1","168.00 ","1","1","1","0","47","94","9","10","10","10","9","9","0","1","0","0","2.57"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","5","2","3","4","0","0","0","0","1","205.00 ","0","1","1","0","9","87","10","9","10","10","8","9","0","1","0","0","0.7"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","2.5","1","1","0","0","0","0","1","65.00 ","1","1","1","0","17","92","9","9","9","10","9","9","1","0","0","0","1.32"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","0","0","1","0","0","75.00 ","0","1","1","0","5","92","10","9","10","10","9","10","1","0","0","0","1.5"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","95.00 ","0","0","1","1","53","95","9","9","10","9","10","9","1","0","0","0","1.32"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","0","1","1","0","0","0","0","1","85.00 ","0","0","1","0","17","94","10","9","10","10","10","10","0","1","0","0","0.43"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2","1","1","1","0","0","0","0","1","165.00 ","1","0","1","0","9","93","9","10","10","10","10","9","1","0","0","0","0.85"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","1","1","1","0","0","0","0","1","62.00 ","0","0","1","0","20","96","10","10","10","10","9","10","0","0","1","0","5.41"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","0","0","0","0","1","110.00 ","1","1","2","1","6","97","10","10","9","9","10","10","0","1","0","0","0.22"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","6","1","2","2","0","0","0","0","1","150.00 ","1","1","2","1","14","97","10","10","10","10","10","9","0","0","1","0","0.54"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","7","2","3","4","0","0","0","0","1","300.00 ","1","1","2","1","3","93","9","9","9","9","9","9","1","0","0","0","0.18"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","0","1","0","0","0","0","1","119.00 ","0","1","1","0","13","100","10","10","10","10","10","10","0","0","1","0","8.67"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","0","1","0","0","0","0","1","175.00 ","1","1","2","0","148","99","10","10","10","10","10","10","0","1","0","0","5.77"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","6","2","2","2","0","0","0","0","1","195.00 ","1","1","3","1","24","96","10","10","10","10","10","10","0","0","1","0","2.81"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","4","1","2","2","0","0","0","0","1","145.00 ","1","1","1","0","4","90","10","9","10","10","10","9","0","0","1","0","1.11"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","4","1","2","2","0","0","0","0","1","200.00 ","0","1","1","0","10","92","10","9","10","10","10","9","0","1","0","0","0.6"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","1","0","0","90.00 ","1","0","1","0","42","99","10","10","10","10","10","10","1","0","0","0","2.45"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","46.00 ","0","1","1","0","2","90","10","8","10","10","9","9","1","0","0","0","0.4"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","1","1","1","0","0","0","0","1","75.00 ","0","0","1","0","12","100","10","10","10","10","10","10","1","0","0","0","1.08"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","6","1","3","3","0","0","0","0","1","500.00 ","1","1","6","0","8","89","9","8","9","9","9","8","1","0","0","0","0.33"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","5","1","1","2","0","0","0","0","1","130.00 ","1","1","1","0","66","90","9","9","10","10","9","9","0","1","0","0","4.25"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","6","1.5","2","3","0","0","0","0","1","190.00 ","1","1","4","1","39","88","9","9","10","10","9","9","0","1","0","0","1.53"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","100.00 ","0","0","1","0","24","91","9","9","10","10","9","9","0","1","0","0","0.72"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","6","3","3","6","0","0","0","0","1","450.00 ","0","1","1","0","2","100","10","10","10","10","10","10","1","0","0","0","0.13"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","8","2","4","4","0","0","0","0","1","399.00 ","1","1","4","0","18","99","10","10","10","10","10","10","0","0","1","0","0.8"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","99.00 ","1","1","1","0","2","100","10","10","10","10","10","10","0","1","0","0","0.18"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","107.00 ","1","1","2","1","20","81","9","8","9","9","8","8","1","0","0","0","0.84"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","76.00 ","0","1","1","1","57","92","10","9","10","10","10","9","0","0","1","0","4.68"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","55.00 ","0","1","1","1","9","78","9","6","9","9","9","8","1","0","0","0","0.74"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","2","0","0","0","0","1","65.00 ","0","0","1","0","2","100","10","10","10","10","10","10","1","0","0","0","1.25"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2","1","0","1","0","0","0","0","1","90.00 ","0","1","1","0","139","93","9","10","10","10","9","9","0","1","0","0","6.77"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","4","2","2","2","0","0","0","0","1","185.00 ","0","1","1","0","4","100","10","10","10","10","10","10","1","0","0","0","0.15"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","105.00 ","1","1","1","1","21","91","9","10","10","10","9","9","0","0","1","0","3.46"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","90.00 ","0","0","1","0","192","95","10","10","10","10","9","10","0","1","0","0","5.58"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","1","1","1","0","0","0","0","1","100.00 ","1","1","1","1","10","98","10","10","10","10","9","10","0","0","1","0","0.6"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","5","1.5","2","3","0","0","0","0","1","200.00 ","1","1","1","0","11","100","10","10","10","10","10","10","0","0","1","0","0.75"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","8","1.5","4","4","0","0","0","0","1","300.00 ","1","1","6","1","2","100","10","10","9","10","9","9","0","0","1","0","0.05"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","6","1","3","3","0","0","0","0","1","319.00 ","0","1","6","1","6","100","10","10","10","10","10","10","0","1","0","0","0.63"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","2","1","1","0","0","0","0","1","70.00 ","0","0","1","0","10","74","9","8","9","8","8","9","1","0","0","0","3.13"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","50.00 ","0","0","1","0","2","60","6","6","8","10","10","6","1","0","0","0","0.46"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","4","1","1","1","0","0","0","0","1","119.00 ","0","1","0","0","14","86","8","8","10","10","9","9","0","1","0","0","0.47"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","3","1","1","2","0","0","0","0","1","125.00 ","0","1","2","1","2","100","10","10","10","10","10","10","0","0","1","0","1.36"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","4","1","1","1","0","0","0","0","1","125.00 ","1","1","1","1","13","95","10","10","10","10","10","9","0","0","1","0","0.5"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","5","1","2","2","0","0","0","0","1","114.00 ","1","1","2","1","8","95","10","10","10","10","10","10","0","0","1","0","0.56"
